mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_com,eff_exp,mass_norm,vio_choke,vio_surge,vio_beta,day,date,hour,global_hour,hour_of_day
char,1.0,1.0033460808148427,-329.6663314255963,1010.6385296113433,765.3791744600284,309.50233681885675,239.94239147564093,-10087.42710865868,0.8699837025080549,0.9299796169519456,6.0,0,0,0,4,Day_4,84,84,12
idle,0.0,0.0,0.0,1010.5672807583821,765.3324515425824,309.50120158517484,239.9482122364934,0.0,,,6.0,0,0,0,4,Day_4,85,85,13
idle,0.0,0.0,0.0,1010.4960390303063,765.2857332974281,309.5000664650163,239.95403241526975,0.0,,,6.0,0,0,0,4,Day_4,86,86,14
idle,0.0,0.0,0.0,1010.4248044264033,765.2390197240984,309.4989314583698,239.95985201202825,0.0,,,6.0,0,0,0,4,Day_4,87,87,15
dis,1.0,1.000478718125124,230.08780146937445,1010.3535769459606,765.4738018650243,309.52553508235934,239.96567102682707,13113.651767481704,0.8699935016211306,0.9299991530136558,5.0,0,0,0,4,Day_4,88,88,16
dis,1.0,1.0004467541786513,230.050548067018,1010.282356588266,765.5881161147188,309.5403904756959,239.9714894597244,13855.944510076495,0.8699934057339533,0.9299991709775626,4.0,0,0,0,4,Day_4,89,89,17
dis,1.0,1.0004147919737456,230.01329823702116,1010.2111433526072,765.6457889436278,309.5497218866951,239.97730731077846,16330.944174828503,0.8699933090376548,0.9299991850917335,3.0,0,0,0,4,Day_4,90,90,18
dis,1.0,1.0003828315117462,229.97605197941743,1010.139937238272,765.6723270395041,309.55601668398765,239.9831245800474,13851.457610720312,0.869993211532718,0.9299991953558012,2.0,0,0,0,4,Day_4,91,91,19
dis,1.0,1.0003508727909027,229.93880929368916,1010.0687382445482,765.6799220314073,309.56046377443437,239.9889412675894,12837.483722866666,0.8699931132197894,0.9299992017694146,1.0,0,0,0,4,Day_4,92,92,20
dis,1.0,1.0003189158053976,229.90157017859067,1009.9975463707237,765.6331690392042,309.55932272805694,239.99475737346268,12502.180729222466,0.8699930140997422,0.9299992043322373,0.0,0,0,0,4,Day_4,93,93,21
