Date,Time,LMP ($/MWh),SRP ($/MWh)
01/22/2024,15,58.87184,0.45
01/22/2024,16,65.01167,0.45
01/22/2024,17,72.20229,1.81
01/22/2024,18,76.35701,5
01/22/2024,19,73.65503,1.81
01/22/2024,20,71.55955,1.3
01/22/2024,21,64.75874,1.17
01/22/2024,22,62.82521,1
01/22/2024,23,51.00389,0.35
01/22/2024,24,49.82368,0.35
01/23/2024,1,43.83535,0.35
01/23/2024,2,43.51016,0.35
01/23/2024,3,43.28397,0.35
01/23/2024,4,43.14332,0.35
01/23/2024,5,43.50087,0.35
01/23/2024,6,50.59687,0.5
01/23/2024,7,62.31161,0.84
01/23/2024,8,62.15333,2.8
01/23/2024,9,49.64465,1.0039
01/23/2024,10,42.63716,0.35
01/23/2024,11,37.9421,0.35
01/23/2024,12,36.45091,0.14
01/23/2024,13,29.06067,0.14
01/23/2024,14,20.9488,0.14
01/23/2024,15,25.14717,0.14
01/23/2024,16,40.59999,0.14
01/23/2024,17,60.86641,0.45
01/23/2024,18,64.99871,2.69429
01/23/2024,19,64.14162,2.36
01/23/2024,20,63.14929,1
01/23/2024,21,62.82958,1
01/23/2024,22,62.56003,0.97434
01/23/2024,23,54.47624,0.45
01/23/2024,24,49.28944,0.45
01/24/2024,1,48.83237,0.75848
01/24/2024,2,48.67486,0.35
01/24/2024,3,48.62546,0.35
01/24/2024,4,48.60906,0.35
01/24/2024,5,49.91944,0.82305
01/24/2024,6,63.01154,0.92212
01/24/2024,7,69.71462,1.5
01/24/2024,8,66.60629,1.5
01/24/2024,9,49.74542,0.45
01/24/2024,10,43.186,0.35
01/24/2024,11,39.52984,0.35
01/24/2024,12,39.21127,0.21687
01/24/2024,13,36.43535,0.14
01/24/2024,14,36.47907,0.14
01/24/2024,15,38.16674,0.14
01/24/2024,16,53.82894,1.33708
01/24/2024,17,65.63685,1
01/24/2024,18,69.56024,1.5
01/24/2024,19,67.69907,1.5
01/24/2024,20,66.13431,1.74378
01/24/2024,21,65.17808,1
01/24/2024,22,62.62119,1
01/24/2024,23,57.11714,1
01/24/2024,24,48.316,1.5
01/25/2024,1,48.41268,0.35
01/25/2024,2,45.95281,0.35
01/25/2024,3,44.7659,0.35
01/25/2024,4,44.52791,0.14
01/25/2024,5,45.09497,0.35
01/25/2024,6,51.6079,0.35
01/25/2024,7,56.92012,2
01/25/2024,8,54.97505,2
01/25/2024,9,49.19438,1.28569
