Date,Time,LMP ($/MWh),SRP ($/MWh),hour_idx,day_idx
09/22/2024,6,39.59641,0.5,6364,265
09/22/2024,7,40.23112,0.5,6365,265
09/22/2024,8,29.32093,0.5,6366,265
09/22/2024,9,2.04735,0.14,6367,265
09/22/2024,10,-2.6727,0.14,6368,265
09/22/2024,11,-3.38445,0.14,6369,265
09/22/2024,12,-3.69668,0.14,6370,265
09/22/2024,13,-2.91255,0.14,6371,265
09/22/2024,14,-2.19356,0.14,6372,265
09/22/2024,15,0.86601,0.14,6373,265
09/22/2024,16,10.59742,0.14,6374,265
09/22/2024,17,27.39861,0.14,6375,265
09/22/2024,18,45.03524,1.0,6376,265
09/22/2024,19,58.8922,1.0,6377,265
09/22/2024,20,55.59,1.0,6378,265
09/22/2024,21,44.46613,1.0,6379,265
09/22/2024,22,43.59669,1.0,6380,265
09/22/2024,23,41.51927,1.0,6381,265
09/22/2024,24,36.86678,1.204,6382,265
09/23/2024,1,36.69216,1.0,6383,265
09/23/2024,2,35.743,0.45,6384,266
09/23/2024,3,35.41443,0.18077,6385,266
09/23/2024,4,35.0117,0.14,6386,266
09/23/2024,5,35.56177,0.14,6387,266
09/23/2024,6,42.01944,0.5,6388,266
09/23/2024,7,42.00257,0.5,6389,266
09/23/2024,8,36.20149,0.5,6390,266
09/23/2024,9,18.54681,0.14,6391,266
09/23/2024,10,10.9581,0.14,6392,266
09/23/2024,11,10.98209,0.14,6393,266
09/23/2024,12,12.86919,0.14,6394,266
09/23/2024,13,14.32305,0.14,6395,266
09/23/2024,14,16.37705,0.14,6396,266
09/23/2024,15,18.02952,0.14,6397,266
09/23/2024,16,24.37133,0.14,6398,266
09/23/2024,17,35.52282,0.14,6399,266
09/23/2024,18,53.67647,3.90367,6400,266
09/23/2024,19,73.09701,7.284,6401,266
09/23/2024,20,67.1446,5.6,6402,266
09/23/2024,21,52.00448,1.05991,6403,266
09/23/2024,22,49.59963,1.0,6404,266
09/23/2024,23,48.44414,1.0,6405,266
09/23/2024,24,41.13549,1.0,6406,266
09/24/2024,1,37.4045,0.5,6407,266
09/24/2024,2,37.34531,0.45,6408,267
09/24/2024,3,36.00468,0.45,6409,267
09/24/2024,4,35.7934,0.14,6410,267
09/24/2024,5,35.77154,0.14,6411,267
09/24/2024,6,39.43569,0.14,6412,267
09/24/2024,7,43.50456,0.5,6413,267
09/24/2024,8,37.08575,1.5,6414,267
09/24/2024,9,13.08605,0.14,6415,267
09/24/2024,10,10.13982,0.14,6416,267
09/24/2024,11,8.81476,0.14,6417,267
09/24/2024,12,9.3139,0.14,6418,267
09/24/2024,13,9.90084,0.14,6419,267
09/24/2024,14,9.93759,0.14,6420,267
09/24/2024,15,11.20119,0.14,6421,267
09/24/2024,16,21.86735,0.14,6422,267
09/24/2024,17,31.88308,1.06,6423,267
09/24/2024,18,51.94805,1.0,6424,267
09/24/2024,19,74.25,16.53,6425,267
09/24/2024,20,59.64863,6.71,6426,267
09/24/2024,21,47.23672,1.0,6427,267
09/24/2024,22,45.89865,1.0,6428,267
09/24/2024,23,45.14666,1.0,6429,267
09/24/2024,24,44.18791,1.0,6430,267
09/25/2024,1,39.75235,0.75,6431,267
09/25/2024,2,39.71184,0.5,6432,268
09/25/2024,3,38.34854,0.5,6433,268
09/25/2024,4,37.93069,0.45,6434,268
09/25/2024,5,37.81649,0.45,6435,268
09/25/2024,6,42.15896,0.5,6436,268
09/25/2024,7,42.91518,0.5,6437,268
09/25/2024,8,36.23637,0.5,6438,268
09/25/2024,9,18.3961,0.5,6439,268
09/25/2024,10,12.7255,0.41866,6440,268
